id,nr,pytanie,odpowiedź,A,B,C,D,E,tags,termin,przedmiot,temat,boards_and_beyond
1,1,"Kobieta lat 52, przyjmuje doustne preparaty żelaza z powodu nieznacznej niedokrwistości mikrocytarnej - zgłasza obfite miesiączki. Dodatkowo lekarz zalecił wykonanie trzykrotne testu gwajakolowego na obecność krwi utajonej w kale - wyniki dodatnie. U tej pacjentki należy w pierwszej kolejności:",E,wykonać kolonoskopię.,powtórzyć test po odstawieniu preparatów żelaza.,wyeliminować chorobę trzewną.,zalecić dietę z eliminacją dużych dawek witaminy C i powtórzyć badanie.,uzależnić decyzję od objawów ze strony przewodu pokarmowego.,choroby_wewnętrzne,,hematologia,,
,2,"U chorego z kardiomiopatią przerostową, ze szczytowym, chwilowym gradientem w drodze odpływu lewej komory - 35 mmHg (ocenionym metodą echokardiografii dopplerowskiej), z frakcją wyrzutową lewej komory 52% i objawami niewydolności serca w II klasie NYHA oraz bólami dławicowymi należy unikać stosowania:
1) niesteroidowych leków przeciwzapalnych;
2) nierozszerzających naczyń beta-adrenolityków;
3) niedihydropirynowych blokerów kanału wapniowego;
4) nitratów o przedłużonym działaniu;
5) glikozydów naparstnicy.
Prawidłowa odpowiedź to:",D,"1,3,4.","1,4,5.","2,3,5.","4,5.",tylko 5.,choroby_wewnętrzne,,,,
,3,"Do objawów pozastawowych reumatoidalnego zapalenia stawów zalicza się:
1) powiększenie węzłów chłonnych;
2) guzki reumatoidalne;
3) włóknienie płuc;
4) zapalenia spojówek, twardówki, nadtwardówki;
5) zapalenie osierdzia.
Prawidłowa odpowiedź to:",A,wszystkie wymienione.,tylko 2.,"3,5.","1,2,3,5.","2,3,5.",choroby_wewnętrzne,,reumatologia,,
,4,"62-letni pacjent, z nadciśnieniem tętniczym i cukrzycą typu 2, zgłosił się do Poradni Podstawowej Opieki Zdrowotnej, z powodu bólu o charakterze kłucia za mostkiem, który pojawia się po wejściu na pierwsze piętro. Dolegliwości wystąpiły po raz pierwszy około 6 tygodni temu. W badaniu przedmiotowym bez istotnych odchyleń. W EKG rytm zatokowy miarowy 70/min. Bez zmian odcinka ST i załamka T. Jakie jest prawidłowe dalsze postępowanie?",C,skierowanie pacjenta na oddział kardiologiczny w celu wykluczenia zawału mięśnia sercowego i wykonania pilnej koronarografii.,skierowanie pacjenta do poradni kardiologicznej w celu umówienia terminu na koronarografię w trybie planowym.,skierowanie pacjenta do poradni kardiologicznej w celu wykonania nieinwazyjnej obrazowej próby wysiłkowej.,skierowanie pacjenta do poradni kardiologicznej w celu wykonania elektrokardiograficznej próby wysiłkowej.,pacjent nie wymaga dalszej diagnostyki.,choroby_wewnętrzne,,,,
,5,"70-letni chory z leczonym od ponad 30 lat nadciśnieniem tętniczym, zgłosił się do poradni lekarza rodzinnego z powodu nasilających się od tygodnia obrzęków kończyn dolnych. W badaniu fizykalnym podwyższone ciśnienie tętnicze oraz obrzęki wokół kostek. Wskaż najmniej prawdopodobną przyczynę tych objawów:",D,nefropatia nadciśnieniowa.,limfatyczne obrzęki polekowe.,zastoinowa niewydolność serca.,zespół nerczycowy w przebiegu pierwotnej amyloidozy.,zespół nerczycowy w przebiegu kłębuszkowego zapalenia nerek.,choroby_wewnętrzne,,,,
,6,"Do pozasercowych przyczyn migotania przedsionków zalicza się:
1) nadczynność tarczycy;
2) niedoczynność tarczycy;
3) ostre zakażenie;
4) obturacyjny bezdech senny;
5) guz chromochłonny.
Prawidłowa odpowiedź to:",E,"1,3,5.","1,3,4,5.","1,2,3,5.","2,3,4,5.",wszystkie wymienione.,choroby_wewnętrzne,,,,
,7,"Charakterystycznymi nieprawidłowościami w zapisie EKG w przebiegu hiperkaliemii są:
1) obniżenie odcinków ST;
2) spłaszczenie załamków P;
3) skrócenie odstępów QT;
4) wzrost amplitudy i zwężenie załamków T;
5) wzrost amplitudy i szerokości załamków U.
Prawidłowa odpowiedź to:",D,"1,2,4,5.","1,4,5.","3,4,5.","2,3,4.","2,4.",choroby_wewnętrzne,,,,
,8,Nowotworowa niedrożność jelit:,D,najczęściej występuje u chorych na raka jajnika i nowotwory układu pokarmowego.,może mieć charakter mechaniczny lub być następstwem zaburzeń metabolicznych.,jest zawsze wskazaniem do stosowania analogów somatostatyny.,prawdziwe są odpowiedzi A i B.,"prawdziwe są odpowiedzi A, B i C.",choroby_wewnętrzne,,,,
,9,Obniżone stężenie żelaza w surowicy stwierdza się:,C,w niedokrwistości megaloblastycznej.,w niedokrwistości syderoblastycznej.,w niedokrwistości chorób przewlekłych.,u zdrowych osób w wieku 16-20 lat.,u zdrowych osób powyżej 65. roku życia.,choroby_wewnętrzne,,hematologia,,
,10,"W jakich sytuacjach klinicznych dochodzi do obniżenia wartości wskaźnika transferu tlenku węgla w płucach (DLCO)?
1) we włóknieniu śródmiąższowym płuc;
2) wypełnienia światła pęcherzyków przez krew;
3) w kontrolowanej astmie;
4) w rozedmie;
5) w przebiegu ciężkich zaburzeniach perfuzji (na przykład w przebiegu zatoru tętnicy płucnej).
Prawidłowa odpowiedź to:",C,"1,2,5.","1,3.","1,4,5.","2,3,5.","1,2,3,4.",choroby_wewnętrzne,,,,
