,nr,pytanie_po_polsku,pytanie_bez_mcq,pytanie_po_angielsku,odpowiedź,A,B,C,D,E,tags,marked,baza_pytań,część,dziedzina,tematy,,ID
,1,,"Wskaż prawdziwe stwierdzenia:
1) ropień płuca może być wynikiem centralnej martwicy nowotworu, przeważnie raka gruczołowego;
2) rak gruczołowy płuca rozwija się w jego obwodowych częściach;
3) ryzyko raka drobnokomórkowego, w odróżnieniu od raka płaskonabłonkowego płuc, jest słabo związane z paleniem tytoniu;
4) u pacjenta z nowotworem płuca jednostronne ściszenie szmerów oddechowych może być wynikiem nie tylko obecności płynu w jamie opłucnowej, ale także niedodmy z zatkania tożstronnego oskrzela lub porażenia nerwu przeponowego;
5) w diagnostyce „nieinfekcyjnej chrypki” i zespołu Hornera wystarczająca jest odpowiednia ocena laryngologiczna i neurologiczna;
6) rak płuca może przebiegać ze wzrostem stężenia antygenu rakowo-płodowego (CEA) w surowicy krwi. Prawidłowa odpowiedź to:",,,"1,2,3,5.","1,3,4,5.","4,5,6.","2,4,6.",wszystkie wymienione.,marked choroby_wewnętrzne,marked,CEM,część_2,choroby_wewnętrzne,,choroby_wewnętrzne,
,2,,"Wskaż prawdziwe stwierdzenia:
1) powiększenie węzła chłonnego nadobojczykowego lewego u pacjenta z rakiem żołądka, tzw. węzła Virchowa, nazywane jest także objawem Troisiera;
2) dysfagia nie występuje w przebiegu raka żołądka;
3) zakażenie Helicobacter pylori jest czynnikiem ryzyka raka gruczołowego żołądka typu jelitowego;
4) rozpoznanie wczesnego raka żołądka nie jest możliwe, gdy stwierdza się obecność przerzutów w regionalnych węzłach chłonnych;
5) rak wczesny żołądka może objawiać się nawracającymi krwawieniami;
6) leczenie endoskopowe jest zawsze wystarczającą metodą leczenia wczesnego raka żołądka. Prawidłowa odpowiedź to:",,,"1,2,5.","2,3,6.","3,4,5.","2,4,6.","1,3,5.", choroby_wewnętrzne,,CEM,część_2,choroby_wewnętrzne,,choroby_wewnętrzne,
,3,,"Wskaż prawdziwe stwierdzenia:
1) rak trzustki jest choroba tytoniozależną;
2) pierwszym objawem raka trzustki, u osoby po 50 r.ż. może być cukrzyca;
3) objaw Courvoisiera polega na wystąpieniu żółtaczki po ostrym bólu w okolicy prawego podżebrza, często towarzyszy mu objaw Chełmońskiego i objaw Murphy’ego;
4) śluzowe i surowicze nowotwory torbielowate trzustki występują częściej u mężczyzn;
5) wysokie stężenie CA-19-9 w surowicy ma wysoką czułość i swoistość w diagnostyce raka trzustki;
6) USG jamy brzusznej nie nadaje się do badań przesiewowych raka trzustki i monitorowania pooperacyjnego. Prawidłowa odpowiedź to:",,,"1,2,6.","2,3,6.","3,4,5.","2,4,6.","1,3,4,5.", choroby_wewnętrzne,,CEM,część_2,choroby_wewnętrzne,,choroby_wewnętrzne,
,4,,"Wskaż zdania prawdziwe:
1) nowotwór złośliwy nerki może przebiegać zarówno z niedokrwistością, jak i nadkrwistością;
2) rak jasnokomórkowy wcześnie daje przerzuty odległe, które mogą ulec regresji po usunięciu ogniska pierwotnego;
3) embolizacja tętnicy nerkowej nie ma znaczenia w terapii, u pacjenta z guzem nerki;
4) klasyczna triada objawów guza nerki (krwiomocz, guz wyczuwalny przez powłoki, ból w okolicy lędźwiowej) jest częsta, ale przeważnie wskazuje na znaczne zaawansowanie procesu nowotworowego;
5) nagłe wystąpienie żylaków sromu lub powrózka nasiennego nawet teoretycznie nie ma związku z patologią nerki lewej;
6) nabyta torbielowatość nerek uważana jest za stan przedrakowy. Prawidłowa odpowiedź to:",,,"2,4,6.","2,3,4.","1,3,5.","1,2,6.","1,5,6.", choroby_wewnętrzne,,CEM,część_2,choroby_wewnętrzne,,choroby_wewnętrzne,
,5,,"Wskaż prawdziwe stwierdzenia:
1) Hipertriglicerydemia >1000mg/dl jest uważana za rzadki czynnik ryzyka ostrego zapalenia trzustki;
2) objaw Cullena jest markerem ciężkiej postaci ostrego zapalenia trzustki;
3) w przebiegu ostrego zapalenia trzustki aktywność amylazy we krwi może utrzymywać się miesiącami, nawet po „wygaszeniu” choroby;
4) obecność zbiorników płynowych z martwicą >½ miąższu trzustki prognozują ciężki przebieg ostrego zapalenia trzustki wg CTSI;
5) przewlekłe zapalenie trzustki może być spowodowane zwężeniem i kamicą przewodu Wirsunga;
6) pacjenci z przewlekłym zapaleniem trzustki rozwijają objawy niedoboru wszystkich witamin rozpuszczalnych w tłuszczach. Prawidłowa odpowiedź to:",,,"1,3,5,6.","1,2,4,5.","2,3,4,5.","1,2,3,6.","2,4,5,6.", choroby_wewnętrzne,,CEM,część_2,choroby_wewnętrzne,,choroby_wewnętrzne,
,6,,"Wskaż lek, który nie jest lekiem pierwszego rzutu w leczeniu nadciśnienia tętniczego:",,,perindopryl.,amlodypina.,indapamid.,klonidyna.,losartan., choroby_wewnętrzne,,CEM,część_2,choroby_wewnętrzne,,choroby_wewnętrzne,
,7,,"Wskaż diuretyk, który powinien być użyty w pierwszej kolejności w leczeniu nadciśnienia tętniczego u chorego z GFR <30 ml/min/1,73 m2 :",,,indapamid.,hydrochlorothiazyd.,spironolakton.,furosemid.,eplerenon., choroby_wewnętrzne,,CEM,część_2,choroby_wewnętrzne,,choroby_wewnętrzne,
,8,,"Wskaż lek stosowany w leczeniu nadciśnienia tętniczego, który może spowodować ostry napad dny moczanowej:",,,amlodypina.,losartan.,perindopryl.,indapamid.,bisoprolol., choroby_wewnętrzne,,CEM,część_2,choroby_wewnętrzne,,choroby_wewnętrzne,
,9,,"Wskaż lek stosowany w leczeniu nadciśnienia tętniczego, który może spowodować suchy kaszel:",,,amlodypina.,losartan.,perindopryl.,indapamid.,bisoprolol., choroby_wewnętrzne,,CEM,część_2,choroby_wewnętrzne,,choroby_wewnętrzne,
,10,,"Wskaż lek stosowany w leczeniu nadciśnienia tętniczego, który może spowodować obrzęk okolicy kostek:",,,amlodypina.,losartan.,perindopryl.,indapamid.,bisoprolol., choroby_wewnętrzne,,CEM,część_2,choroby_wewnętrzne,,choroby_wewnętrzne,
,11,,"Wskaż lek stosowany w leczeniu nadciśnienia tętniczego, który może spowodować bradykardię:",,,amlodypina.,losartan.,perindopryl.,indapamid.,bisoprolol., choroby_wewnętrzne,,CEM,część_2,choroby_wewnętrzne,,choroby_wewnętrzne,
,12,,"Wskaż lek stosowany w leczeniu nadciśnienia tętniczego, który może spowodować hiperkalemię:",,,amlodypina.,hydrochlorotiazyd.,perindopryl.,indapamid.,furosemid., choroby_wewnętrzne,,CEM,część_2,choroby_wewnętrzne,,choroby_wewnętrzne,
,13,,"Wskaż lek stosowany w leczeniu nadciśnienia tętniczego, który może spowodować hipokalemię:",,,walsaltan.,losartan.,perindopryl.,indapamid.,ramipryl., choroby_wewnętrzne,,CEM,część_2,choroby_wewnętrzne,,choroby_wewnętrzne,
,14,,"Wskaż kombinację leków, której nie należy stosować w leczeniu nadciśnienia tętniczego:",,,perindopryl i indapamid.,perindopryl i amlodypina.,perindopryl i losartan.,amlodypina i indapamid.,losartan i amlodypina., choroby_wewnętrzne,,CEM,część_2,choroby_wewnętrzne,,choroby_wewnętrzne,
,15,,"Wskaż lek, którego stosowanie wiąże się z najwyższym ryzykiem wystąpienia zaburzeń wzwodu u mężczyzn:",,,amlodypina.,losartan.,perindopryl.,bisoprolol.,walsartan., choroby_wewnętrzne,,CEM,część_2,choroby_wewnętrzne,,choroby_wewnętrzne,
,16,,"Do poradni zgłosił się mężczyzna z powodu bólu głowy i wzrostu ciśnienia tętniczego do wartości 210/110 mm Hg. Pacjent przyjmuje nieregularnie leki z powodu nadciśnienia tętniczego, takie jak perindopryl, indapamid i amlodypinę. Który z leków należy podać choremu w pierwszej kolejności w celu szybkiego obniżenia ciśnienia tętniczego?",,,ramipryl.,perindopryl.,kaptopryl.,enarenal.,amlodypina., choroby_wewnętrzne,,CEM,część_2,choroby_wewnętrzne,,choroby_wewnętrzne,
,17,,"Wskaż lek, który należy zastosować w pierwszej kolejności w leczeniu nadciśnienia tętniczego u kobiety w ciąży:",,,ramipryl.,perindopryl.,kaptopryl.,enarenal.,metyldopa., choroby_wewnętrzne,,CEM,część_2,choroby_wewnętrzne,,choroby_wewnętrzne,
,18,,"U 54-letniego chorego nie udało się obniżyć ciśnienia tętniczego do zamierzonych wartości, mimo stosowania trzech leków, takich jak perindopryl, amlodypina i indapamid. U tego chorego eGFR wynosi 64 ml/min/1,73 m2 , a stężenie potasu 4,1 mmol/l. Który z leków należy rozważyć w pierwszej kolejności jako kolejny lek obniżający ciśnienie tętnicze?",,,metyldopa.,werapamil.,doksazosyna.,spironolakton.,losartan., choroby_wewnętrzne,,CEM,część_2,choroby_wewnętrzne,,choroby_wewnętrzne,
,19,,U nieprzytomnego pacjenta stwierdza się ciśnienie tętnicze 240/120 mm Hg. Jaki lek należy podać w pierwszej kolejności w celu obniżenia ciśnienia tętniczego?,,,indapamid.,urapidyl.,kaptopryl.,amlodypina.,losartan., choroby_wewnętrzne,,CEM,część_2,choroby_wewnętrzne,,choroby_wewnętrzne,
,20,,"Na SOR została przewieziona 80-letnia kobieta, która nie spożywała w domu żadnych pokarmów ani napojów przez ostatnie dwie doby z powodu złego samopoczucia. Ciśnienie tętnicze wynosi 80/50 mm Hg, a tętno 96/min. Stężenie sodu w surowicy krwi wynosi 154 mmol/l, a stężenia potasu 4,8 mmol/l. Chora ma suche błony śluzowe jamy ustnej. Jaki płyn należy podać dożylnie w pierwszej kolejności?",,,5% roztwór glukozy.,10% roztwór glukozy.,20% roztwór glukozy.,"0,9% roztwór NaCl.","8,4% roztwór wodorowęglanu sodu.", choroby_wewnętrzne,,CEM,część_2,choroby_wewnętrzne,,choroby_wewnętrzne,
,21,,"Na SOR został przywieziony 41-letni chory z powodu zasłabnięcia. Choruje on na cukrzycę typu 1 od 25 lat, która jest leczona insuliną. U chorego tego stwierdza się w badaniach krwi pH 7,2 oraz HCO3 10 mmol/l. Stężenie sodu wynosi 139 mmol/l, a potasu 4,9 mmol/l. Stężenie glukozy we krwi wynosi 380 mg/dl. Jaki lek należy podać dożylmnie w pierwszej kolejności?",,,"0,9% roztwór chlorku sodu.","insulinę, 0,9% roztwór chlorku sodu 0,3% chlorku potasu.","insulinę, 5% roztwór glukozy.","insulinę, 10% roztwór glukozy.","8,4% roztwór wodorowęglanu sodu.", choroby_wewnętrzne,,CEM,część_2,choroby_wewnętrzne,,choroby_wewnętrzne,
,22,,"79-letni mężczyzna zgłosił się do lekarza z powodu złego samopoczucia. W badaniach krwi stwierdzono stężenie hemoglobiny 10 g/dl. Wartości MCV, MCH i MCHC są poniżej zakresu normy. Liczba płytek krwi i leukocytów jest prawidłowa. Wskaż, którą z chorób należy wykluczyć u tego chorego w pierwszej kolejności:",,,niedobór witaminy B12.,nowotwór jelita grubego.,hemochromatozę.,niedobór kwasu foliowego.,przewlekłą chorobę nerek., choroby_wewnętrzne,,CEM,część_2,choroby_wewnętrzne,,choroby_wewnętrzne,
,23,,"W ramach badań przesiewowych w kierunku cukrzycy u bezobjawowego 68-letniego mężczyzny wykonano na czczo badanie stężenia glukozy w osoczu krwi żylnej, które wyniosło 152 mg/dl. U chorego tego należy:",,,"rozpoznać cukrzycę i rozpocząć leczenie farmakologiczne metforminą, jeśli tylko nie ma przeciwwskazań do jej stosowania.",powtórzyć badanie stężenia glukozy we krwi przy pomocy glukometru w dowolnym czasie.,powtórzyć badanie stężenia glukozy w osoczu krwi żylnej na czczo w ciągu jednego z najbliższych dni.,wykonać doustny test tolerancji glukozy.,powtórzyć badanie stężenia glukozy w osoczu krwi żylnej na czczo za rok., choroby_wewnętrzne,,CEM,część_2,choroby_wewnętrzne,,choroby_wewnętrzne,
,24,,"74-letni mężczyzna zgłosił się do lekarza z powodu krwistego zabarwienia moczu. Badanie moczu wykazało zwiększoną liczbę erytrocytów w moczu. Wskaż badanie, od którego należy rozpocząć diagnostykę różnicową krwiomoczu u tego chorego:",,,USG jamy brzusznej.,scyntygrafia nerek.,urografia.,biopsja nerki.,biopsja prostaty., choroby_wewnętrzne,,CEM,część_2,choroby_wewnętrzne,,choroby_wewnętrzne,
,25,,Stężenie kreatyniny w surowicy krwi zależy przede wszystkim od czynności wydalniczej nerek oraz od:,,,wzrostu.,ilości tkanki tłuszczowej.,masy ciała.,masy mięśniowej.,ilości spożywanego białka., choroby_wewnętrzne,,CEM,część_2,choroby_wewnętrzne,,choroby_wewnętrzne,
,26,,W pierwotnej nadczynności tarczycy występują następujące odchylenia w badaniach:,,,zwiększone TSH i zwiększone FT4.,zwiększone TSH i zmniejszone FT4.,prawidłowe TSH i zmniejszone FT4.,zmniejszone TSH i zwiększone FT4.,zmniejszone TSH i zmniejszone FT4., choroby_wewnętrzne,,CEM,część_2,choroby_wewnętrzne,,choroby_wewnętrzne,
,27,,W pierwotnej niedoczynności tarczycy występują następujące odchylenia w badaniach:,,,zwiększone TSH i zwiększone FT4.,zwiększone TSH i zmniejszone FT4.,prawidłowe TSH i zmniejszone FT4.,zmniejszone TSH i zwiększone FT4.,zmniejszone TSH i zmniejszone FT4., choroby_wewnętrzne,,CEM,część_2,choroby_wewnętrzne,,choroby_wewnętrzne,
,28,,W ostrym zapaleniu trzustki stwierdza się najczęściej następujące nieprawidłowości w badaniach krwi:,,,zwiększenie aktywności amylazy i lipazy.,zmniejszenie aktywności amylazy i lipazy.,zwiększenie aktywności amylazy i zmniejszenie aktywności lipazy.,zmniejszenie aktywności amylazy i zwiększenie aktywności lipazy.,zwiększenie aktywności amylazy i prawidłową aktywność lipazy., choroby_wewnętrzne,,CEM,część_2,choroby_wewnętrzne,,choroby_wewnętrzne,
,29,,25-letnia kobieta zgłosiła się do lekarza z powodu częstego bolesnego oddawania moczu od kilku godzin. Który z parametrów badania ogólnego moczu wykonany u tej kobiety wskazuje na zakażenie układu moczowego:,,,obecność glukozy w moczu.,niski ciężar właściwy moczu.,niskie pH moczu.,obecność białka w moczu.,zwiększona liczba leukocytów w moczu., choroby_wewnętrzne,,CEM,część_2,choroby_wewnętrzne,,choroby_wewnętrzne,
